setup,spec,seed,query,scratch_reward,scratch_time_s,targeted_reward,exhaustive_reward,hybrid_reward,decomp_time,targeted_time,exhaustive_time,hybrid_time
path-gold-hazard,X1,0000,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",182.90999999999997,10.644699096679688,175.90999999999997,175.01999999999998,175.90999999999997,33.377403,0.024828,12.877762,3.396368
path-gold-hazard,X1,0001,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",211.91,12.127981424331663,204.91,208.01999999999998,213.91,33.377403,0.009706,11.177813,3.418405
path-gold-hazard,X1,0002,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",188.79999999999998,10.884215116500854,181.79999999999998,172.13,187.91,33.377403,0.009234,22.852138,5.120211
path-gold-hazard,X1,0003,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",191.79999999999998,10.140280961990356,190.69,175.01999999999998,185.91,33.377403,0.009171,16.274026,6.789969
path-gold-hazard,X1,0004,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",173.13,11.983392477035522,164.01999999999998,169.01999999999998,193.13,33.377403,0.009808,15.333509,8.193449
path-gold-hazard-lever,X1,0000,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",200.22,10.48181438446045,-256.84000000000003,201.01,194.79999999999998,13.528794,0.011488,14.693932,6.809145
path-gold-hazard-lever,X1,0001,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",228.21999999999997,11.762128829956056,225.01,216.01,225.01,13.528794,0.009147,9.518809,3.505814
path-gold-hazard-lever,X1,0002,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",199.22,10.590471267700195,199.22,206.79999999999998,206.79999999999998,13.528794,0.00904,15.792596,6.757966
path-gold-hazard-lever,X1,0003,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",204.79999999999998,10.21723461151123,190.22,199.01,201.22,13.528794,0.009435,12.874506,3.443213
path-gold-hazard-lever,X1,0004,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",268.43,11.72518754005432,263.43,267.22,263.43,13.528794,0.009237,11.796964,3.023177
