setup,spec,seed,query,scratch_reward,scratch_time_s,targeted_reward,exhaustive_reward,hybrid_reward,decomp_time,targeted_time,exhaustive_time,hybrid_time
path-gold-hazard,X10,0000,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",191.79999999999998,123.62281441688538,203.79999999999998,203.79999999999998,203.79999999999998,17.769367,0.027176,10.275484,3.604187
path-gold-hazard,X10,0001,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",216.91,130.39180445671082,228.57999999999998,228.57999999999998,228.57999999999998,17.769367,0.022073,10.657353,3.705121
path-gold-hazard,X10,0002,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",194.79999999999998,127.14089345932008,207.57999999999998,207.57999999999998,207.57999999999998,17.769367,0.023039,10.318224,3.755537
path-gold-hazard,X10,0003,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",190.69,124.72764372825624,215.69,215.69,215.69,17.769367,0.022993,10.229376,3.628339
path-gold-hazard,X10,0004,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",180.13,126.99996185302734,211.57999999999998,211.57999999999998,211.57999999999998,17.769367,0.022276,10.21669,3.819798
path-gold-hazard-lever,X10,0000,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",279.01,125.598539352417,295.59000000000003,295.59000000000003,295.59000000000003,12.700765,0.026276,10.662305,3.737322
path-gold-hazard-lever,X10,0001,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",235.01,130.60704159736633,302.8,302.8,302.8,12.700765,0.02212,10.315425,3.766316
path-gold-hazard-lever,X10,0002,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",287.01,126.06649851799013,299.59000000000003,299.59000000000003,299.59000000000003,12.700765,0.022677,10.438137,3.753032
path-gold-hazard-lever,X10,0003,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",246.47,123.1762158870697,293.8,293.8,293.8,12.700765,0.022875,10.479353,3.708497
path-gold-hazard-lever,X10,0004,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",278.43,125.552015542984,309.38,309.38,309.38,12.700765,0.022959,10.349456,3.691339
