setup,spec,seed,query,scratch_reward,scratch_time_s,targeted_reward,exhaustive_reward,hybrid_reward,decomp_time,targeted_time,exhaustive_time,hybrid_time
path-gold,X5,0000,Find the fastest exit and collect as much gold as possible,109.8,56.03452706336975,110.81,110.81,110.81,6.583947,0.023562,10.046615,3.508065
path-gold,X5,0001,Find the fastest exit and collect as much gold as possible,120.81,58.72137594223023,133.79000000000002,133.79000000000002,133.79000000000002,6.583947,0.020038,9.827811,3.537769
path-gold,X5,0002,Find the fastest exit and collect as much gold as possible,100.80999999999999,57.45508551597595,122.78,122.78,122.78,6.583947,0.020582,9.943427,3.550619
path-gold,X5,0003,Find the fastest exit and collect as much gold as possible,102.77999999999999,56.920334339141846,123.79000000000002,123.79000000000002,123.79000000000002,6.583947,0.019926,9.786868,3.574189
path-gold,X5,0004,Find the fastest exit and collect as much gold as possible,118.79,59.69256138801575,127.78,127.78,127.78,6.583947,0.020453,10.209431,3.581707
path-gold-hazard,X5,0000,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",192.79999999999998,64.33328127861023,203.79999999999998,203.79999999999998,203.79999999999998,8.875434,0.026052,49.757716,10.850799
path-gold-hazard,X5,0001,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",218.91,66.06571841239929,228.57999999999998,228.57999999999998,228.57999999999998,8.875434,0.021924,50.344757,10.992418
path-gold-hazard,X5,0002,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",191.79999999999998,65.95689058303833,207.57999999999998,207.57999999999998,207.57999999999998,8.875434,0.022595,50.020842,10.949777
path-gold-hazard,X5,0003,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",196.57999999999998,64.65660214424133,215.69,215.69,215.69,8.875434,0.022514,50.455452,10.896433
path-gold-hazard,X5,0004,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",185.91,62.8959686756134,211.57999999999998,211.57999999999998,211.57999999999998,8.875434,0.022044,50.095353,10.847555
path-gold-hazard-lever,X5,0000,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",278.59000000000003,65.26881003379822,295.59000000000003,295.59000000000003,295.59000000000003,13.547056,0.025337,252.181809,32.790776
path-gold-hazard-lever,X5,0001,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",237.01,66.15435647964478,302.8,302.8,302.8,13.547056,0.021474,252.281741,32.986768
path-gold-hazard-lever,X5,0002,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",287.8,64.63197445869446,299.59000000000003,299.59000000000003,299.59000000000003,13.547056,0.022572,253.199,32.917043
path-gold-hazard-lever,X5,0003,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",211.58999999999997,64.40447282791138,293.8,293.8,293.8,13.547056,0.022401,252.81599,32.841664
path-gold-hazard-lever,X5,0004,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",282.22,62.17057180404663,309.38,309.38,309.38,13.547056,0.022195,252.432569,32.793789
