setup,spec,seed,query,scratch_reward,scratch_time_s,targeted_reward,exhaustive_reward,hybrid_reward,decomp_time,targeted_time,exhaustive_time,hybrid_time
path-gold-hazard,X1,0000,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",176.14999999999998,26.93588590621948,145.26,157.15,161.15,12.161644,0.011895,12.282367,4.408692
path-gold-hazard,X1,0001,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",171.14999999999998,25.402770519256592,198.82,169.70999999999998,180.26,12.161644,0.009344,34.650868,4.414485
path-gold-hazard,X1,0002,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",167.26,25.709911108016968,167.36999999999998,167.36999999999998,167.36999999999998,12.161644,0.009396,26.293067,4.300599
path-gold-hazard,X1,0003,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",182.26,27.441808223724365,178.04,178.04,178.04,12.161644,0.009343,12.151877,4.343555
path-gold-hazard,X1,0004,"Find the fastest exit, collect as much gold as possible, avoid hazards at all cost",177.26,26.69373297691345,188.04,181.14999999999998,176.14999999999998,12.161644,0.009619,62.552165,33.388323
path-gold-hazard-lever,X1,0000,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",178.04,26.96169686317444,165.06999999999996,186.64999999999998,190.23,26.198602,0.023478,12.334166,4.408612
path-gold-hazard-lever,X1,0001,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",191.85999999999999,25.40962100028992,215.01999999999998,212.01999999999998,212.01999999999998,26.198602,0.009232,26.849073,4.379432
path-gold-hazard-lever,X1,0002,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",260.07,25.185659408569336,184.07,250.07000000000002,251.86,26.198602,0.009241,33.151077,11.487403
path-gold-hazard-lever,X1,0003,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",202.64999999999998,27.644379377365112,178.85999999999999,196.44,196.44,26.198602,0.009143,12.074809,4.363261
path-gold-hazard-lever,X1,0004,"Find the fastest exit after activating the lever, collect as much gold as possible, avoid hazards at all cost",268.86,26.93797993659973,204.43999999999997,277.65,258.86,26.198602,0.009204,19.446238,4.386037
